Sample_ID,d7Li,lgm,glacier,river_width,perprob,magtm,MAT,PET,SaltDep,rorc,rclay,tot_per_sil_sed_su_ss,tot_per_carb_sed_sc_sm_ev,tot_per_mt_plt_vl_py,random,mean_dem,acc_base,acc_map,acc_depth
Carmacks 4,21.28,98.7808,0.07915,132,0.152897,1.452301,-2.417263,514.629199,-0.000001,188.82054,13.688216,31.33693,15.00179,53.54252,0.054772719,2758.648,188.85,357.71,96.59
Eagle,10.4,33.0988,0,80,0.951156,-3.026993,-7.215519,414.21038,-0.000032,183.27771,20.714171,40.47042,59.51998,0,0.462658458,1512.314,1762.2,320.54,100.3
Klondike ,21.96,26.3869,0,31,0.837323,-1.309015,-5.519032,482.576504,-0.000015,167.192022,13.311268,22.63896,69.11023,8.23888,0.140748545,2603.102,1650.06,341.22,100.35
McQuesten,17.07,6.7687,0,11,0.664227,-0.568922,-5.114147,501.886759,-0.000012,167.482461,13.671966,18.94011,77.85214,3.19951,0.331016758,2461.728,1796.47,306.16,100.44
Pelly,16.12,96.9005,0,98,0.151871,0.924577,-4.205951,503.929869,-0.000002,170.406607,15.01516,17.9135,56.51938,25.51132,0.702927308,2683.719,1313.21,356.26,99.93
PorcupineUpst,13.99,27.3912,0,171,0.965595,-3.478806,-8.031902,408.267408,0,189.83183,18.822181,79.80933,20.1635,0.02716,0.896812005,1472.207,1541.12,281.04,91.37
Stewart,16.09,76.1488,0,111,0.458185,-0.273777,-5.260617,473.996728,0,159.251098,15.370281,33.05321,63.1888,3.47407,0.742948464,2783.614,1800.43,341.33,99.64
Yukon (Daws Upst),15.6,73.4485,0.18733,348,0.400289,0.408174,-3.828884,500.773498,0,181.422487,13.904015,24.95972,28.09944,45.2846,0.62326432,2689.826,668.85,347.25,97.03
YukonWhth,20.74,100,0.43534,94,0.07684,1.99716,-1.572025,508.348333,-0.00001,189.653811,13.141857,29.44741,11.77797,58.40243,0.902368644,2753.064,190.08,371.18,89.89
Tatonduk,8.7,5.4613,0,8,0.811005,-1.38297,-6.218521,483.233501,-0.000029,189.2628,13.616113,17.5353,82.35375,0.09926,0.776237776,2220.354,1756.44,272.15,100.65
Crooked,20.64,9.3363,0,1,0.214754,0.570766,-3.946539,537.48929,-0.000005,192.560752,12.562069,13.70915,31.20628,55.08137,0.702801125,6327.317,947.98,279.06,100.22
Fortymile,20.5,0.2104,0,47,0.934939,-1.86319,-5.55995,532.967475,-0.000022,204.183078,11.204682,1.17065,0,98.81638,0.922689582,2193.376,241.45,220.15,100.6
Willow (Pelly) ,18.45,0,0,110,0.207226,0.658573,-3.843139,548.983005,-0.000017,201.268385,12.491565,60.41558,0,39.57614,0.155703354,1908.621,189.87,271.74,99.93
McQuesten (Klondike Hwy),16.61,6.7687,0,11,0.664227,-0.568921,-5.114144,501.886529,-0.000011,167.482384,13.67196,18.94019,77.85219,3.19969,0.864176636,2461.728,1796.25,306.12,100.43
Pelly (Crossing),15,95.4955,0,153,0.152759,0.920657,-4.200524,504.597177,-0.000001,170.85369,14.980939,18.54861,55.70005,25.69736,0.802022874,2683.176,1296.52,354.91,99.89
McGregor,25.42,0.483,0,6,0.107733,1.061565,-3.075723,550.928635,-0.000125,193.093399,13.233912,0.8986,0,99.06388,0.790686441,2225.82,197.35,265.47,103.85
McCabe,25.57,0,0,2,0.15558,1.011053,-3.325758,549.762395,-0.000072,189.123233,14.495622,8.43929,0,91.54632,0.627299058,2093.422,193.59,260.31,101.88
Fortymile River above Clinton Creek,17.81,0.1786,0,69,0.928846,-1.744093,-5.546068,532.29252,-0.000005,203.241619,11.12599,1.0039,0.43541,98.55703,0.093966314,2135.863,240.14,224.45,100.06
Pelly (Faro Brige),16.43,100,0,67,0.129768,1.02595,-4.431935,493.888294,-0.000002,166.093903,15.122413,25.5128,51.55354,22.88409,0.036416804,2829.073,1212.1,386.5,99.69
Klondike (E Germaine Cr Avulsion),23.53,25.6916,0,43,0.835671,-1.288543,-5.498223,483.926862,-0.000001,167.874503,13.26932,23.77948,67.28825,8.93178,0.188585681,2563.329,1626.8,339.74,99.94
Rose (Bridge #1),17.9,100,0,23,0.099111,1.773635,-2.828683,527.687207,-0.000405,201.650245,12.203178,37.04119,0,62.87778,0.832005918,2906.985,208.18,335.27,109.51
Big Salmon,22.23,100,0,62,0.230177,0.952685,-3.364277,503.129213,-0.000002,175.64558,14.530355,18.6234,37.22191,44.1525,0.629754966,3067.695,190.09,300.1,99.32
Takhini (Klondike Hwy Crossing),23.51,100,0.06732,76,0.161861,1.197152,-2.223693,496.309073,-0.000001,174.602318,13.431255,17.63763,2.09801,79.84733,0.363794873,3025.563,217.9,394.91,96.35
Little Salmon,18.05,100,0,53,0.197059,0.857557,-3.476308,513.925992,-0.000007,178.083541,14.157592,7.44193,34.41748,58.13612,0.766253506,2819.217,190.16,318.73,98.33
Tatchun,22.02,82.9255,0,1,0.085301,1.132383,-2.905314,561.359114,-0.000004,194.828913,15.229606,32.51826,1.73282,65.74668,0.121205991,2146.674,189.15,264.17,99.55
Nisutlin,18.02,100,0,78,0.195023,1.053233,-3.726136,497.322593,-0.000026,170.315862,13.860915,25.8322,43.98351,30.16094,0.069481685,3103.502,191.4,327.66,100.47
Blind Creek,25.88,100,0,48,0.216816,0.686466,-3.926621,497.185366,-0.00024,164.165216,14.362896,0.98484,59.71299,39.07945,0.7561561,3138.588,1798.51,347.02,107.21
Mickey Creek,30.79,0,0,94,0.841234,-0.926172,-5.176532,522.556421,-0.000189,202.141011,11.893337,0,0,99.98112,0.328395427,2037.551,257.1,289.12,107.09
Norenskiold,19.22,94.1257,0,11,0.307946,0.421964,-2.831079,529.629624,-0.000017,173.917558,15.100521,35.49728,1.78685,62.70251,0.73311398,2579.425,193.13,262.46,100.42
Yukon (MStem),14.53,65,0.16344,460,0.46679,0.166645,-4.044642,502.05142,0,182.50038,13.660791,23.60698,27.98843,46.95941,0.99296003,2629.084,691.21,336.75,97.39
Nisling,24.15,11.1453,0,70,0.751359,-0.795667,-4.063108,485.206468,0,187.714667,13.448812,9.39297,0.27993,90.07064,0.887764606,2754.691,193.63,240.69,100.06
White (Alaska Hwy),13.84,100,9.10986,95,0.698803,-1.307242,-5.687783,392.78056,-0.000031,170.653603,14.892288,33.59347,4.41312,34.31745,0.511925206,4430.558,118.34,597.71,70.55
Kluane (Old Alaska Hwy),15.15,86.7223,4.43225,601,0.511299,-0.212525,-3.84446,454.194656,-0.000001,174.820247,13.388641,45.59333,8.74724,41.08618,0.806717148,3399.774,217.08,360.24,91.44
Drury,24.38,100,0,1327,0.281076,0.420599,-3.696279,508.370273,-0.000065,178.797142,13.524798,0,5.04131,94.94575,0.398198339,2996.373,193.77,318.06,101.45
TEKLANIKA_R,15.7,15.0514,0.14947,11,0.454818,-0.033992,-3.108908,466.456043,-0.000276,203.563155,13.600874,71.6451,22.53665,5.57877,0.778563075,1942.218,259.76,459.29,108.19
BARTON_CR,22.99,0,0,24,0.377023,0.317688,-3.233003,525.324125,-0.000796,210.487083,13.704115,94.57142,5.34893,0,0.269553729,860.794,300.53,530.5,124.95
